episode,step,hidden_state,action,reward,persistence_reward,next_hidden_state,season,production,q_kaf,popsize,popsize_a,popsize_i,popsize_s,popsize0_a,popsize0_i,popsize0_s,popsizeage0,catch_total_apr+oct+nov,catch_total_jul+aug+sep,catch_apr+oct+nov_a,catch_apr+oct+nov_i,catch_apr+oct+nov_s,catch_jul+aug+sep_a,catch_jul+aug+sep_i,catch_jul+aug+sep_s,min_popsize_reach,min_catch_apr+oct+nov_reach,min_catch_jul+aug+sep_reach,CV,min_extthr_ratio,gini,minmeanratio,A_min_frac
0,43,"[10.41991209 15.56009443 15.01806239  2.63830405  7.07645135  6.56241505
  0.         19.72907974  0.        ]",[0.079 0.888 0.    0.112],-0.079115,,"[ 4.95685124  7.75766782  8.00330287  8.86192146 13.47172798 11.72786547
  9.66928305 19.72907974  1.        ]",0.0,0.079,364.15298721688544,9087539.6,33532.48,5724701.02,3329306.1,33519.49,5723518.26,3328599.12,9085636.87,49201.01,40573.01,186.0,47414.01,1601.0,1981.0,20002.01,18590.0,33532.48,186.0,1981.0,0.943301555030431,7.882214623141461,0.41750710610383474,0.01106982136286922,0.0003873856034508627
0,45,"[ 0.          7.1993765   7.91901212  0.         12.9129004  11.58972017
  0.         19.9704905   0.        ]",[0.999 0.208 0.    0.792],-0.99909,,"[ 0.          7.68243417 12.04805341  0.         11.97380298  3.55926485
 12.20516724 19.9704905   1.        ]",0.0,0.999,348.4314829285844,517575.52,0.0,406846.43,110729.09,0.0,1337.6,2748.05,4085.65,2956.0,322.0,17.0,2768.0,171.0,0.0,177.0,145.0,0.0,17.0,0.0,1.2192141024121892,0.0,0.524041309630203,0.0,0.0
0,47,"[ 8.90692527  7.12915174 11.90990778  0.         11.41497907  3.42532562
  0.         19.69992654  0.        ]",[0.997 0.81  0.    0.19 ],-0.99677,,"[ 5.5820136   5.04695143  8.21364851  5.73875413 10.39844337  8.56673105
 12.20284243 19.69992654  1.        ]",0.0,0.997,419.6720480493754,248059.19,7381.93,91915.57,148761.7,7381.93,1246.82,148731.96,157360.71,1072.0,1668.0,10.0,934.0,128.0,0.0,712.0,956.0,7381.93,10.0,0.0,0.8603628312607478,1.7352118481247627,0.3799624444487445,0.08927623282169067,0.0
0,49,"[ 0.          7.86028238  9.27169813  0.          9.83963756  8.42861275
  0.         19.82040454  0.        ]",[1.    0.694 0.    0.306],-1.0,,"[ 0.         10.34249107  6.66252616  0.          7.57755065  6.35131904
 12.20607765 19.82040454  1.        ]",0.0,1.0,296.1096109643551,36560.11,0.0,21353.17,15206.94,0.0,2591.25,10631.79,13223.04,48.0,106.0,0.0,44.0,4.0,5.0,82.0,19.0,0.0,0.0,5.0,0.901991940894801,0.0,0.3893710020748478,0.0,0.0
0,51,"[ 0.          9.78694453  9.34550239  0.          7.0191051   6.21343094
  0.         20.8387217   0.        ]",[1.    0.964 0.032 0.005],-0.99981,,"[ 0.         10.86449384 11.24838405  0.          8.91439654  5.29044398
 12.20588763 20.8387217   1.        ]",0.0,1.0,831.9459385887502,30860.26,0.0,18915.62,11944.63,0.0,17798.84,11446.22,29245.06,150.0,1187.0,0.0,142.0,8.0,0.0,1182.0,5.0,0.0,0.0,0.0,0.9299505940532122,0.0,0.4086296557329682,0.0,0.0
0,53,"[ 8.84184062 10.30567952 11.13125987  0.          8.35566855  5.15304378
  0.         19.73018793  0.        ]",[1.    0.942 0.    0.058],-0.999895,,"[ 8.88854759  7.77391989  8.22591714  0.61464769  5.48194292  7.01481483
 12.20597264 19.73018793  1.        ]",0.0,1.0,326.01908891496066,109514.2,6916.71,34154.19,68443.29,6916.71,29900.97,68271.33,105089.01,480.0,11136.0,0.0,347.0,133.0,0.0,10852.0,284.0,6916.71,0.0,0.0,0.8445635906723058,1.625856265508211,0.3745425136231204,0.1894743330088701,0.0
0,55,"[ 8.35870646  8.75945217  9.33275537  0.22051487  4.92622464  6.87680143
  0.         20.67023039  0.        ]",[1.    0.042 0.14  0.818],-0.99996,,"[10.1435169  10.48855965  9.48777937  6.67223214  6.18819628  7.4792512
 12.20603764 20.67023039  1.        ]",0.0,1.0,676.9502786408085,23042.65,4266.42,6506.48,12269.75,4266.17,6369.62,11301.23,21937.02,58.0,78.0,7.0,36.0,15.0,35.0,37.0,6.0,4266.42,7.0,6.0,0.5375541761202286,1.002873575484521,0.23155120323978937,0.555459550008354,5.8597137646998476e-05
0,57,"[ 9.29237355 10.0294034   9.90275161  5.43949959  5.63090378  7.34118836
  0.         20.12497599  0.        ]",[0.999 0.004 0.566 0.43 ],-0.99923,,"[10.21981066 13.46058214  7.48700066  8.71113986  7.90654977  6.73678273
 12.20530735 20.12497599  1.        ]",0.0,0.999,622.5855671449393,55569.72,11083.25,22960.65,21525.83,10853.92,22682.73,19984.29,53520.94,366.0,849.0,118.0,239.0,9.0,10.0,798.0,41.0,11083.25,9.0,10.0,0.3499948417695983,2.6052518400646956,0.14249244447771597,0.5983429464823649,0.020691584147249253
0,59,"[ 9.35958063 12.90611928  9.22305497  7.47572466  7.34799683  6.59881198
  0.         20.90837358  0.        ]",[1.    0.004 0.2   0.796],-0.999985,,"[ 9.62569418 15.70994797 13.81157562  8.26605316 10.74364936  3.98907186
 12.20606265 20.90837358  1.        ]",0.0,1.0,1176.0269228170253,428552.79,13372.2,404320.41,10860.18,11608.52,402768.32,10126.96,424503.8,1519.0,2397.0,84.0,1434.0,1.0,390.0,1991.0,16.0,10860.18,1.0,16.0,1.5851678065887955,1.8101790018253068,0.6120758658460723,0.07602456630838876,0.06751453474988456
0,61,"[ 9.15808436 15.15122354 13.68066788  7.0308633  10.18483688  3.85366478
  0.         20.64357319  0.        ]",[0.984 0.423 0.    0.577],-0.98443,,"[11.73395594 12.93760197 11.08513021  7.14097761 12.58332471  9.60691125
 12.19038524 20.64357319  1.        ]",0.0,0.984,891.3510255716111,4713720.97,10619.87,3829202.56,873898.54,9489.86,3802705.24,873852.37,4686047.47,33405.99,35084.99,32.0,31867.99,1506.0,66.0,34527.99,491.0,10619.87,32.0,66.0,1.2744869635857736,2.496328771682301,0.540066289357245,0.006758908769264721,0.10640525731482586
