"alpha","beta","mu_s","mu_i","mu_a","sd","beta_2","tau","r0","r1","lM0mu_s","lM0mu_i","lM0mu_a","lM1mu_s","lM1mu_i","lM1mu_a","lMwmu_s","lMwmu_i","lMwmu_a","irphi"
760.801860314215,10.5183035396035,12.9879998359115,12.3526395433579,9.65936882525867,1.26739215888885,1.89282532296393,0.0654799209250236,0.0227688527364098,0.28485043269279,-5.00292737777618,-4.17635972466056,-4.20413601121785,-3.87368595068331,-4.93843499318162,-5.38169004397624,-6.74652575954343,-5.39221808327577,-4.93250132036219,0.172601474311806
889.409270529307,10.2888228162339,12.1141660299826,13.2090479917901,9.7804676797033,1.72302410683223,1.89055870206933,0.0460383598827876,0.0269083835575331,0.41232506845615,-5.46250578600413,-4.04360666250171,-5.34622998879789,-3.78280643714922,-5.00726755197596,-5.04390223360009,-7.16553584986994,-4.95118375085436,-4.90717552751025,0.110111234082941
715.785003220369,11.0994789883332,11.9883696472843,13.3372065869148,9.42157978232467,1.76678346682499,1.96314795762294,0.0614147321617102,0.0268470449656639,0.304583598854237,-4.96013693635243,-3.88069749711839,-4.1790429918741,-4.13475396125768,-4.74333027255443,-5.31582956990672,-6.50744930966294,-5.07895915020929,-5.13299029026026,0.200617530580781
846.379845607858,9.25601214017578,13.315053453213,12.717418741741,10.4632286627845,1.47313632176768,1.86360780422096,0.047367059423284,0.01897191323917,0.247013895943134,-4.95962204644844,-4.06580184556932,-3.95786383321489,-4.1404954757633,-5.03281406084875,-5.35386516341665,-5.99735730547278,-5.48035729534171,-5.09825184582564,0.204986876247337
701.004122691719,8.17462951019487,12.5756853225605,12.8730368058558,9.67656683585093,1.36494039136176,1.94704495017669,0.0518461414836291,0.0539270861212452,0.494655399926879,-4.97728042916666,-4.23325630924176,-4.85684406054728,-3.86351476336301,-4.54211140597875,-4.1477452246336,-6.6009682593803,-4.76804003354962,-4.95963446597123,0.125623243647627
683.553768272857,8.95504216702385,12.362333908854,12.8089488888537,9.40311118404258,1.27148863645643,2.07505260062444,0.0765113910025312,0.0427873134073326,0.498031939516467,-5.11324945235974,-3.9490244950101,-4.10743651483278,-3.75366783134619,-4.18388277059236,-4.68136158905115,-7.03518413890422,-6.00598085804821,-5.27318006788159,0.0714830968639557
615.01697002985,9.34861415696897,12.3155588917695,12.8515857064584,8.82186866614753,1.67589466999013,1.84949469496037,0.0774761000379721,0.0245912154563043,0.237537733966541,-5.67295726704067,-3.91569759293749,-5.66737315451885,-4.07517080036558,-4.98262177374456,-4.28832884702718,-6.95218105766432,-5.26593842433623,-5.31417055094066,0.141986053098806
712.027942304406,9.34543885802136,13.2050547876368,13.1678879490603,10.3213351400703,1.69575113109466,1.83745846917087,0.070613646908529,0.0521237450368318,0.397424955786175,-4.3435262702056,-4.15832873251011,-4.33466786042404,-3.95285507555993,-4.54103036955693,-4.54470436021115,-6.9959953539561,-5.21983670681997,-4.88281515768849,0.113109514346905
651.358946098312,9.40238134070997,12.7813012629278,12.6770198379559,9.54274721409096,1.51755121162835,1.94192942278284,0.0511413130565201,0.0304585176731235,0.390929039303858,-4.33657027396573,-3.9120016310876,-5.10654173037432,-3.9905914424244,-4.74040593592221,-4.60515769144032,-6.87386507021064,-4.84972824989953,-4.59723081780676,0.0947412761228965
683.294456547916,8.73875071028957,13.3029669054748,12.547549349919,10.5387535607575,1.25317476772414,2.01695863772009,0.0571805230466296,0.0178262679298263,0.297044264723932,-4.56361579781235,-4.2286054534592,-4.11940047898861,-3.80057344349673,-4.91083156720476,-5.23598979002848,-6.63321579652037,-4.79302790679282,-4.57675404562736,0.207312391198856
954.790285442903,8.22782851199148,12.8487778132853,12.7965791483058,10.7243792167755,1.5484156830907,1.88396311213155,0.0362331499869413,0.017867087401323,0.161340126861846,-4.87872299122405,-4.07172993917129,-4.59390480051583,-4.21879440658642,-4.89453247984941,-5.14572936862827,-6.76138695262852,-5.65729101468873,-4.95343357835847,0.261374480530028
759.762434371636,8.1661765279745,12.3049362563003,13.595003653675,9.59403345374371,1.43983532391107,1.89710068985678,0.0150033506387652,0.0287931466380014,0.328686873307162,-5.61540981182082,-4.07942051722362,-4.96776023340693,-3.84941626228715,-4.74039323721407,-4.68193424653161,-6.91001597996887,-5.2117888491353,-5.30177189276494,0.135365042415398
551.260216953092,8.29078194779591,11.8228838694148,12.1042316218315,9.67236513739791,1.33963406592981,1.90289786869366,0.0777416383492057,0.0400991457809732,0.600359772158419,-5.22904792125944,-4.32129425533672,-4.81605825972248,-3.89079966072794,-4.40276249348334,-4.4374377470488,-6.98364244354922,-5.17359754273816,-5.0954761027568,0.0935555138079772
832.381051066505,10.0582358924681,11.9549087364263,11.7202975699839,8.71857593473612,1.8964540056556,1.97019580988049,0.0640716705732406,0.040869287439354,0.242593888474391,-5.04647259313667,-4.16019641434213,-5.21240985330996,-4.22346505611901,-5.22478239353815,-4.9434421085036,-7.10474340973341,-4.99766560273138,-4.78113886820083,0.126170418550585
762.159011523333,8.06649164697044,12.3385040120663,11.5241983565979,9.59400413017814,1.46909909207306,2.05999096192261,0.0447765458569338,0.0538138496045895,0.269512873255144,-4.91880559120355,-4.29188059475576,-5.11997305077035,-4.19654418165005,-4.81930057890151,-4.69682761419911,-6.91836780904255,-5.78929362347029,-4.84421832617009,0.183591250199064
836.759388072604,9.67490088073884,12.4199639557068,12.6437324652517,10.3112761750498,1.67112901570378,1.9502232818619,0.0647237605038894,0.047940143049026,0.430601682191596,-4.98695115922073,-3.97843834825382,-4.18100121541688,-4.00563815533275,-4.97339187856522,-5.18236831564074,-7.09298136493751,-5.05249895758404,-4.87633788103514,0.124178921217022
837.402997686032,8.45871368195288,12.0768066622325,12.9207975841357,9.59980666123766,1.44660432645445,2.11712453913173,0.0638784555715588,0.0336190225587426,0.530058710681325,-5.34446027508544,-4.24179273912226,-4.98110560861436,-4.24292575086361,-4.86418417169605,-4.67689876369996,-5.48652935275485,-4.78401197467879,-4.48626317737304,0.20472007238119
